category,display_name,description
animation,"Animation","Packages for creating animated plots"
annotations,"Annotations","Packages for adding text, labels, and annotations"
arranging_plots,"Arranging Plots","Packages for combining multiple plots"
coords,"Coords","Packages for helping navigate the coordinate systems"
data,"Data","Packages that contain datasets to visualize"
facets,"Facets","Packages for helping create faceted visualizations"
finishing_touches,"Finishing Touches","Packages that help create a publication ready visualization"
geoms,"Geoms","New geometric objects for ggplot2"
helpers,"Helpers","Utility packages that assist ggplot2 workflows"
interactive_plots,"Interactive Plots","Packages for creating interactive visualisations"
interactive_tools,"Interactive Tools","Packages that contain interactive tools like apps"
maps,"Maps","Packages for geographic/spatial visualisation"
networks,"Networks","Packages for network and graph visualisation"
python,"Python","Python packages that still are extentions to ggplot2"
scales_and_guides,"Scales & Guides","Custom scales, axes, legends, and guides"
sports,"Sports","Sports-specific visualisation packages"
stats,"Stats","Statistical layers and transformations"
themes,"Themes","Custom themes and styling"
na,"NA","Packages that have no category"
