"package_name","categories","is_essential","website_url","repo_url","date_added","notes"
"ButterflyColors","scales_and_guides",FALSE,"https://junqueiragaabi.github.io/ButterflyColors/","https://github.com/junqueiragaabi/ButterflyColors/","1900-01-01",""
"CGPfunctions","geoms|stats",FALSE,"https://ibecav.github.io/CGPfunctions/","https://github.com/ibecav/CGPfunctions/","1900-01-01",""
"ComplexUpset","geoms",FALSE,"https://krassowski.github.io/complex-upset/","https://github.com/krassowski/complex-upset/","1900-01-01",""
"DataExplorer","data|interactive_tools",FALSE,"https://boxuancui.github.io/DataExplorer/","https://github.com/boxuancui/DataExplorer/","1900-01-01",""
"ExPanDaR","data|interactive_tools",FALSE,"https://trr266.github.io/ExPanDaR/","https://github.com/trr266/ExPanDaR/","1900-01-01",""
"FunnelPlotR","stats",FALSE,"https://nhs-r-community.github.io/FunnelPlotR/","https://github.com/nhs-r-community/FunnelPlotR/","1900-01-01",""
"GGally","data",FALSE,"https://ggobi.github.io/ggally/","https://github.com/ggobi/ggally/","1900-01-01",""
"HRM","stats",FALSE,NA,"https://github.com/happma/HRM/","1900-01-01",""
"KMunicate","stats",FALSE,"https://ellessenne.github.io/KMunicate-package/","https://github.com/ellessenne/KMunicate-package/","1900-01-01",""
"MetBrewer","scales_and_guides",FALSE,NA,"https://github.com/BlakeRMills/MetBrewer/","1900-01-01",""
"MexBrewer","scales_and_guides",FALSE,"https://paezha.github.io/MexBrewer/","https://github.com/paezha/MexBrewer/","1900-01-01",""
"MoMAColors","scales_and_guides",FALSE,NA,"https://github.com/BlakeRMills/MoMAColors/","1900-01-01",""
"NatParksPalettes","scales_and_guides",FALSE,NA,"https://github.com/kevinsblake/NatParksPalettes/","1900-01-01",""
"PerformanceAnalytics","stats",FALSE,NA,"https://github.com/braverock/PerformanceAnalytics","1900-01-01",""
"PrettyCols","scales_and_guides",FALSE,"https://nrennie.github.io/PrettyCols/","https://github.com/nrennie/PrettyCols/","1900-01-01",""
"RColorBrewer","scales_and_guides",FALSE,NA,NA,"1900-01-01",""
"RtutoR","na",FALSE,NA,NA,"1900-01-01","No category in Notion export; Package appears unmaintained"
"Rtutor","interactive_tools",FALSE,"https://skranz.github.io/RTutor/","https://github.com/skranz/RTutor/","1900-01-01",""
"SBC","stats",FALSE,"https://hyunjimoon.github.io/SBC/","https://github.com/hyunjimoon/SBC/","1900-01-01",""
"SBpitch","sports",FALSE,NA,"https://github.com/FCrSTATS/SBpitch/","1900-01-01",""
"StatsBombR","data",FALSE,"https://statsbomb.com/","https://github.com/statsbomb/StatsBombR/","1900-01-01",""
"ThemePark","themes",FALSE,"https://matthewbjane.com/ThemePark/","https://github.com/MatthewBJane/ThemePark/","1900-01-01",""
"WVPlots","stats",FALSE,"https://winvector.github.io/WVPlots/","https://github.com/WinVector/WVPlots/","1900-01-01",""
"animint2","animation|interactive_plots",FALSE,"https://animint.github.io/animint2/","https://github.com/animint/animint2/","1900-01-01",""
"aplot","arranging_plots",FALSE,"https://yulab-smu.top/aplot/","https://github.com/YuLab-SMU/aplot/","1900-01-01",""
"arrowheadr","geoms",FALSE,"https://wjschne.github.io/arrowheadr/","https://github.com/wjschne/arrowheadr/","1900-01-01",""
"autoplotly","helpers",FALSE,NA,"https://github.com/terrytangyuan/autoplotly/","1900-01-01",""
"bbplot","themes",FALSE,NA,"https://github.com/bbc/bbplot/","1900-01-01",""
"biscale","scales_and_guides",FALSE,"https://chris-prener.github.io/biscale/","https://github.com/chris-prener/biscale/","1900-01-01",""
"bslib","interactive_tools",FALSE,"https://rstudio.github.io/bslib/","https://github.com/rstudio/bslib/","1900-01-01",""
"calendR","geoms",FALSE,"https://r-coder.com/calendar-plot-r/","https://github.com/R-CoderDotCom/calendR/","1900-01-01",""
"camcorder","animation",FALSE,"https://thebioengineer.github.io/camcorder/","https://github.com/thebioengineer/camcorder/","1900-01-01",""
"chessR","sports",FALSE,"https://jaseziv.github.io/chessR/","https://github.com/JaseZiv/chessR/","1900-01-01",""
"choroplethr","maps",FALSE,"https://arilamstein.com/open-source/","https://github.com/eastnile/choroplethr/","1900-01-01",""
"choroplethrMaps","data|maps",FALSE,"http://www.arilamstein.com/open-source/","https://github.com/trulia/choroplethrMaps/","1900-01-01",""
"colorBlindness","scales_and_guides",FALSE,NA,"https://github.com/cran/colorBlindness/","1900-01-01",""
"colorblindr","scales_and_guides",FALSE,NA,"https://github.com/clauswilke/colorblindr/","1900-01-01",""
"colorspace","scales_and_guides",FALSE,"https://colorspace.r-forge.r-project.org/","https://github.com/cran/colorspace/","1900-01-01",""
